"id","name","birthdate","deathdate"
1242,"Charles S. Dutton","1951-01-30T00:00:00.000",null
1243,"Charles Shyer","1941-10-11T00:00:00.000",null
1244,"Charles Stone III",null,null
1245,"Charles T. Kanganis",null,null
1246,"Charlie Bewley","1981-01-25T00:00:00.000",null
1247,"Charlie Hunnam","1980-04-10T00:00:00.000",null
1248,"Charlie Kaufman","1958-11-19T00:00:00.000",null
1249,"Charlie Korsmo","1978-07-20T00:00:00.000",null
1250,"Charlie Levi",null,null
1251,"Charlie McDermott","1990-04-06T00:00:00.000",null
1252,"Charlie Murphy",null,null
1253,"Charlie Rowe","1942-01-05T00:00:00.000",null
1254,"Charlie Saxton",null,null
1255,"Charlie Tahan",null,null
1256,"Charlie Talbert","1978-12-13T00:00:00.000",null
1257,"Charlie Yeung","1974-05-23T00:00:00.000",null
1258,"Charlize Theron","1975-08-07T00:00:00.000",null
1259,"Charlotte Bøving","1964-08-15T00:00:00.000",null
1260,"Charlotte Le Bon","1986-09-04T00:00:00.000",null
1261,"Charlotte Lewis","1967-08-07T00:00:00.000",null
1262,"Charlotte Rae","1926-04-22T00:00:00.000",null
1263,"Charlotte Rampling","1946-02-05T00:00:00.000",null
1264,"Charlotte Stewart","1941-02-27T00:00:00.000",null
1265,"Charlotte Sullivan","1983-10-21T00:00:00.000",null
1266,"Charly Bivona",null,null
1267,"Charlyne Yi","1986-01-04T00:00:00.000",null
1268,"Chase Armitage","1985-08-02T00:00:00.000",null
1269,"Chase Ellison","1993-09-22T00:00:00.000",null
1270,"Chase Masterson","1963-02-26T00:00:00.000",null
1271,"Chasty Ballesteros",null,null
1272,"Chatchai Plengpanich",null,null
1273,"Chatrichalerm Yukol","1942-11-29T00:00:00.000",null
1274,"Chazz Palminteri","1952-05-15T00:00:00.000",null
1275,"Cheech Marin","1946-07-13T00:00:00.000",null
1276,"Chelan Simmons","1982-10-29T00:00:00.000",null
1277,"Chelcie Ross","1942-10-26T00:00:00.000",null
1278,"Chelse Swain","1983-05-25T00:00:00.000",null
1279,"Chelsea Bond",null,null
1280,"Chelsea Field","1957-05-27T00:00:00.000",null
1281,"Chelsea Handler","1975-02-25T00:00:00.000",null
1282,"Chelsey Reist",null,null
1283,"Chemeeka Walker",null,null
1284,"Chen Chang","1976-10-14T00:00:00.000",null
1285,"Chenoa Maxwell","1969-11-16T00:00:00.000",null
1286,"Cherami Leigh","1988-07-19T00:00:00.000",null
1287,"Cheri Oteri","1962-09-19T00:00:00.000",null
1288,"Cherry Jones","1956-11-21T00:00:00.000",null
1289,"Cheryl Dunye","1966-05-13T00:00:00.000",null
1290,"Cheryl Hines","1965-09-21T00:00:00.000",null
1291,"Cheryl Ladd","1951-07-12T00:00:00.000",null
1292,"Cheryl Penland",null,null
1293,"Cheryl Tiegs","1947-09-25T00:00:00.000",null
1294,"Chester","1970-01-20T00:00:00.000",null
1295,"Cheyenne Jackson","1975-07-12T00:00:00.000",null
1296,"Chi Chung Lam","1976-08-16T00:00:00.000",null
1297,"Chi Ling Chiu",null,null
1298,"Chi McBride","1961-09-23T00:00:00.000",null
1299,"Chi Muoi Lo",null,null
1300,"Chia-Liang Liu","1936-08-01T00:00:00.000","2013-06-25T00:00:00.000"
1301,"Chiaki Kuriyama","1984-10-10T00:00:00.000",null
1302,"Chiara Caselli","1967-12-22T00:00:00.000",null
1303,"Chin-Chien Chang",null,null
1304,"China Chow","1974-04-15T00:00:00.000",null
1305,"Ching Wan Lau","1964-02-16T00:00:00.000",null
1306,"Chita Rivera","1933-01-23T00:00:00.000",null
1307,"Chloe Bridges","1991-12-27T00:00:00.000",null
1308,"Chloë Grace Moretz","1997-02-10T00:00:00.000",null
1309,"Chloe Hollings",null,null
1310,"Chloe Rose","1994-10-25T00:00:00.000",null
1311,"Chris 'Wonder' Schoeck",null,null
1312,"Chris Andrew Ciulla","1975-07-28T00:00:00.000",null
1313,"Chris Atkins",null,null
1314,"Chris Barrie","1960-03-28T00:00:00.000",null
1315,"Chris Bauer","1966-10-28T00:00:00.000",null
1316,"Chris Brochu",null,null
1317,"Chris Brown","1989-05-05T00:00:00.000",null
1318,"Chris Buck",null,null
1319,"Chris Butler",null,null
1320,"Chris Carter","1956-10-13T00:00:00.000",null
1321,"Chris Cleveland",null,null
1322,"Chris Columbus","1958-09-10T00:00:00.000",null
1323,"Chris Cox",null,null
1324,"Chris D'Arienzo","1972-04-14T00:00:00.000",null
1325,"Chris Eigeman","1965-03-01T00:00:00.000",null
1326,"Chris Elliott","1960-05-31T00:00:00.000",null
1327,"Chris Ellis","1956-04-14T00:00:00.000",null
1328,"Chris Evans","1981-06-13T00:00:00.000",null
1329,"Chris Eyre",null,null
1330,"Chris Gauthier","1976-01-27T00:00:00.000",null
1331,"Chris Geere","1981-03-18T00:00:00.000",null
1332,"Chris Gorak",null,null
1333,"Chris Harrison","1971-07-26T00:00:00.000",null
1334,"Chris Hemsworth","1983-08-11T00:00:00.000",null
1335,"Chris Kattan","1970-10-19T00:00:00.000",null
1336,"Chris Kentis","1962-10-23T00:00:00.000",null
1337,"Chris Klein","1979-03-14T00:00:00.000",null
1338,"Chris Koch",null,null
1339,"Chris Lowell","1984-10-17T00:00:00.000",null
1340,"Chris Marker","1921-07-29T00:00:00.000","2012-07-29T00:00:00.000"
1341,"Chris Marquette","1984-10-03T00:00:00.000",null
1342,"Chris Miller","1975-09-23T00:00:00.000",null
1343,"Chris Moss",null,null
1344,"Chris Mulkey","1948-05-03T00:00:00.000",null
1345,"Chris Nahon","1968-12-05T00:00:00.000",null
1346,"Chris New","1940-02-17T00:00:00.000",null
1347,"Chris Noonan","1952-11-14T00:00:00.000",null
1348,"Chris Noth","1954-11-13T00:00:00.000",null
1349,"Chris Owen","1961-09-07T00:00:00.000",null
1350,"Chris Paine","1980-08-26T00:00:00.000",null
1351,"Chris Parnell","1967-02-05T00:00:00.000",null
1352,"Chris Penn","1965-10-10T00:00:00.000","2006-01-24T00:00:00.000"
1353,"Chris Pontius","1974-07-16T00:00:00.000",null
1354,"Chris Roberts",null,null
1355,"Chris Robinson","1938-11-05T00:00:00.000",null
1356,"Chris Rock","1965-02-07T00:00:00.000",null
1357,"Chris Shadley","1975-07-21T00:00:00.000",null
1358,"Chris Stokes",null,null
1359,"Chris Thomas",null,null
1360,"Chris Wedge","1957-03-20T00:00:00.000",null
1361,"Chris Weitz","1969-11-30T00:00:00.000",null
1362,"Chris Young","1957-04-28T00:00:00.000",null
1363,"Chris Zylka","1985-05-09T00:00:00.000",null
1364,"Chriss Anglin",null,null
1365,"Christa B. Allen","1991-11-11T00:00:00.000",null
1366,"Christa Miller","1964-05-28T00:00:00.000",null
1367,"Christel Khalil","1987-11-30T00:00:00.000",null
1368,"Christian Alvarez","1986-07-25T00:00:00.000",null
1369,"Christian Alvart","1974-05-28T00:00:00.000",null
1370,"Christian Anderson","1932-12-26T00:00:00.000","2000-12-01T00:00:00.000"
1371,"Christian Bale","1974-01-30T00:00:00.000",null
1372,"Christian Berkel","1957-10-28T00:00:00.000",null
1373,"Christian Camargo","1971-07-07T00:00:00.000",null
1374,"Christian Campbell","1972-05-12T00:00:00.000",null
1375,"Christian Carion","1963-01-04T00:00:00.000",null
1376,"Christian Clavier","1952-05-06T00:00:00.000",null
1377,"Christian Clemenson","1958-03-17T00:00:00.000",null
1378,"Christian Ditter",null,null
1379,"Christian Duguay",null,null
1380,"Christian E. Christiansen","1972-12-14T00:00:00.000",null
1381,"Christian Kapper",null,null
1382,"Christian Keyes",null,null
1383,"Christian Monzon",null,null
1384,"Christian Sesma",null,null
1385,"Christian Stolte","1962-10-16T00:00:00.000",null
1386,"Christian Volckman",null,null
1387,"Christiana Leucas",null,null
1388,"Christie Burke",null,null
1389,"Christina Chambers","1969-10-24T00:00:00.000",null
1390,"Christina Cox","1971-07-31T00:00:00.000",null
1391,"Christina Hart","1949-07-21T00:00:00.000",null
1392,"Christina Milian","1981-09-26T00:00:00.000",null
1393,"Christina Moore",null,null
1394,"Christina Vidal","1981-11-18T00:00:00.000",null
1395,"Christine Cavanaugh","1963-08-16T00:00:00.000","2014-12-22T00:00:00.000"
1396,"Christine Jeffs","1963-01-29T00:00:00.000",null
1397,"Christine Lakin","1979-01-25T00:00:00.000",null
1398,"Christine Taylor","1971-07-30T00:00:00.000",null
1399,"Christo Jivkov","1975-02-18T00:00:00.000",null
1400,"Christoph Waltz","1956-10-04T00:00:00.000",null
1401,"Christophe Ali",null,null
1402,"Christophe Barratier","1963-06-17T00:00:00.000",null
1403,"Christophe Cherki",null,null
1404,"Christophe Gans","1960-03-11T00:00:00.000",null
1405,"Christopher Abbott",null,null
1406,"Christopher Atkins","1961-02-21T00:00:00.000",null
1407,"Christopher B. Duncan",null,null
1408,"Christopher Barnard",null,null
1409,"Christopher Berry",null,null
1410,"Christopher Cain","1943-10-29T00:00:00.000",null
1411,"Christopher Cousins","1960-09-27T00:00:00.000",null
1412,"Christopher Denham",null,null
1413,"Christopher Erskin",null,null
1414,"Christopher Evan Welch","1965-09-28T00:00:00.000","2013-12-02T00:00:00.000"
1415,"Christopher Guest","1948-02-05T00:00:00.000",null
1416,"Christopher Heyerdahl","1963-09-18T00:00:00.000",null
1417,"Christopher Hutson",null,null
1418,"Christopher James Baker",null,null
1419,"Christopher Judge","1964-10-13T00:00:00.000",null
1420,"Christopher Lambert","1957-03-29T00:00:00.000",null
1421,"Christopher Landon","1975-02-27T00:00:00.000",null
1422,"Christopher Lee","1922-05-27T00:00:00.000","2015-06-07T00:00:00.000"
1423,"Christopher Leitch",null,null
1424,"Christopher M. Bessette",null,null
1425,"Christopher Masterson","1980-01-22T00:00:00.000",null
1426,"Christopher McQuarrie",null,null
1427,"Christopher Meloni","1961-04-02T00:00:00.000",null
1428,"Christopher Morris","1965-09-05T00:00:00.000",null
1429,"Christopher Nicholas Smith",null,null
1430,"Christopher Nolan","1970-07-30T00:00:00.000",null
1431,"Christopher Rich","1953-09-16T00:00:00.000",null
1432,"Christopher Robin Miller","1969-05-29T00:00:00.000",null
1433,"Christopher Schmidt",null,null
1434,"Christopher Scott Cherot",null,null
1435,"Christopher Simpson","1974-07-09T00:00:00.000",null
1436,"Christopher Smith","1962-07-17T00:00:00.000",null
1437,"Christopher Sommers",null,null
1438,"Christopher Spencer",null,null
1439,"Christopher Toler","1972-11-11T00:00:00.000",null
1440,"Christopher Webster",null,null
1441,"Chrystale Wilson",null,null
1442,"Chrystee Pharris","1976-03-07T00:00:00.000",null
1443,"Chuan Lu","1971-02-08T00:00:00.000",null
1444,"Chuck Bowman","1937-06-02T00:00:00.000",null
1445,"Chuck Mitchell","1927-11-28T00:00:00.000","1992-06-22T00:00:00.000"
1446,"Chuck Russell","1958-05-09T00:00:00.000",null
1447,"Chuck Sheetz","1960-12-31T00:00:00.000",null
1448,"Chuck Zito","1953-03-01T00:00:00.000",null
1449,"Chulpan Khamatova","1975-10-01T00:00:00.000",null
1450,"Ciarán Foy",null,null
1451,"Cicely Tyson","1924-12-18T00:00:00.000",null
1452,"Cinda McCain",null,null
1453,"Cindy Robinson","1968-04-06T00:00:00.000",null
1454,"Cindy Williams","1947-08-22T00:00:00.000",null
1455,"CindyMarie Small",null,null
1456,"Circus-Szalewski",null,null
1457,"CJ Adams",null,null
1458,"Cjon Saulsberry",null,null
1459,"Claire Adams",null,null
1460,"Claire Bloom","1931-02-15T00:00:00.000",null
1461,"Claire Foy","1984-04-16T00:00:00.000",null
1462,"Claire Geare",null,null
1463,"Claire Gordon-Harper",null,null
1464,"Clare Higgins","1955-11-10T00:00:00.000",null
1465,"Clare Kilner",null,null
1466,"Clare Kramer","1974-09-03T00:00:00.000",null
1467,"Clarence Williams III","1939-08-21T00:00:00.000",null
1468,"Clark Baker",null,null
1469,"Clark Gregg","1962-04-02T00:00:00.000",null
1470,"Clark Johnson","1954-09-10T00:00:00.000",null
1471,"Clarke Peters","1952-04-07T00:00:00.000",null
1472,"Claude Akins","1926-05-25T00:00:00.000","1994-01-27T00:00:00.000"
1473,"Claude Chabrol","1930-06-24T00:00:00.000","2010-09-12T00:00:00.000"
1474,"Claude Miller","1942-02-20T00:00:00.000","2012-04-04T00:00:00.000"
1475,"Claude Rains","1889-11-10T00:00:00.000","1967-05-30T00:00:00.000"
1476,"Claude-Oliver Rudolph","1956-11-30T00:00:00.000",null
1477,"Claudette Colbert","1903-09-13T00:00:00.000","1996-07-30T00:00:00.000"
1478,"Claudette Lalí","1975-08-01T00:00:00.000",null
1479,"Claudia Cardinale","1938-04-15T00:00:00.000",null
1480,"Claudia Christian","1965-08-10T00:00:00.000",null
1481,"Claudia Ferri",null,null
1482,"Claudia Lapacó","1940-06-25T00:00:00.000",null
1483,"Claudia Llosa","1976-11-15T00:00:00.000",null
1484,"Claudia Sainte-Luce",null,null
1485,"Claudia Stedelin",null,null
1486,"Claudiu Trandafir","1963-09-15T00:00:00.000",null
1487,"Clay Kaytis",null,null
1488,"Clayne Crawford","1978-04-20T00:00:00.000",null
1489,"Clayton Rohner","1957-08-05T00:00:00.000",null
1490,"Clayton Snyder","1987-09-09T00:00:00.000",null
1491,"Clé Bennett","1950-03-18T00:00:00.000",null
1492,"Clea DuVall","1977-09-25T00:00:00.000",null
1493,"Cleavon Little","1939-06-01T00:00:00.000","1992-10-22T00:00:00.000"
1494,"Clemens Schick","1972-02-15T00:00:00.000",null
1495,"Cliff Edwards","1895-06-14T00:00:00.000","1971-07-17T00:00:00.000"
1496,"Cliff Robertson","1923-09-09T00:00:00.000","2011-09-10T00:00:00.000"
1497,"Clifton Collins Jr.","1970-06-16T00:00:00.000",null
1498,"Clifton James","1955-01-13T00:00:00.000",null
1499,"Clifton Powell","1956-03-16T00:00:00.000",null
1500,"Clint Eastwood","1930-05-31T00:00:00.000",null
1501,"Clint Howard","1959-04-20T00:00:00.000",null
1502,"Clint Jordan",null,null
1503,"Clint Jung",null,null
1504,"Clint Mansell","1963-01-07T00:00:00.000",null
1505,"Clive Barker","1952-10-05T00:00:00.000",null
1506,"Clive Revill","1930-04-18T00:00:00.000",null
1507,"Clive Russell","1945-12-07T00:00:00.000",null
1508,"Clive Standen","1981-07-22T00:00:00.000",null
1509,"Clive Swift","1936-02-09T00:00:00.000",null
1510,"Clotilde Mollet",null,null
1511,"Clovis Fouin",null,null
1512,"Clu Gulager","1928-11-16T00:00:00.000",null
1513,"Clyde Kusatsu","1948-09-13T00:00:00.000",null
1514,"Cody Cameron","1970-10-12T00:00:00.000",null
1515,"Cody Howard",null,null
1516,"Cody Linley","1989-11-20T00:00:00.000",null
1517,"Cole Hauser","1975-03-22T00:00:00.000",null
1518,"Colette Divine",null,null
1519,"Colin Andrews","1960-09-10T00:00:00.000",null
1520,"Colin Farrell","1976-05-31T00:00:00.000",null
1521,"Colin Ferguson","1972-07-22T00:00:00.000",null
1522,"Colin Firth","1960-09-10T00:00:00.000",null
1523,"Colin Higgins","1941-07-28T00:00:00.000","1988-08-05T00:00:00.000"
1524,"Colin Minihan",null,null
1525,"Colin O'Donoghue","1981-01-26T00:00:00.000",null
1526,"Colin Salmon","1962-12-06T00:00:00.000",null
1527,"Colin Stinton","1947-03-10T00:00:00.000",null
1528,"Colin Strause","1976-11-08T00:00:00.000",null
1529,"Colin Trevorrow","1976-09-13T00:00:00.000",null
1530,"Colleen Dewhurst","1924-06-03T00:00:00.000","1991-08-22T00:00:00.000"
1531,"Colleen Haskell","1976-12-06T00:00:00.000",null
1532,"Colleen O'Shaughnessey","1971-09-15T00:00:00.000",null
1533,"Collette Wolfe","1980-04-04T00:00:00.000",null
1534,"Collin Alfredo St. Dic",null,null
1535,"Collin Chou","1967-08-11T00:00:00.000",null
1536,"Collin Joseph Neal","1985-07-05T00:00:00.000",null
1537,"Collin Kahey","1981-04-11T00:00:00.000",null
1538,"Collin Schiffli",null,null
1539,"Collins Pennie","1985-06-20T00:00:00.000",null
1540,"Colm Feore","1958-08-22T00:00:00.000",null
1541,"Common","1972-03-13T00:00:00.000",null
1542,"Conchata Ferrell","1943-03-28T00:00:00.000",null
1543,"Conleth Hill","1964-11-24T00:00:00.000",null
1544,"Connie Nielsen","1965-07-03T00:00:00.000",null
1545,"Connie Ray","1956-07-10T00:00:00.000",null
1546,"Connor Corum",null,null
1547,"Connor Paolo","1990-07-11T00:00:00.000",null
1548,"Conor McMahon",null,null
1549,"Conor McPherson","1971-08-06T00:00:00.000",null
1550,"Conrad Coates",null,null
1551,"Conrad Dunn",null,null
1552,"Conrad Goode","1962-01-09T00:00:00.000",null
1553,"Conrad Kemp",null,null
1554,"Conrad Veidt","1893-01-22T00:00:00.000","1943-04-03T00:00:00.000"
1555,"Conrad Vernon","1968-07-11T00:00:00.000",null
1556,"Constance Marie","1965-09-09T00:00:00.000",null
1557,"Constance Shulman","1958-04-04T00:00:00.000",null
1558,"Constance Wu","1982-03-22T00:00:00.000",null
1559,"Consuelo Gómez",null,null
1560,"Corbin Allred","1979-05-25T00:00:00.000",null
1561,"Corbin Bernsen","1954-09-07T00:00:00.000",null
1562,"Corbin Bleu","1989-02-21T00:00:00.000",null
1563,"Corey Grant",null,null
1564,"Corey Johnson","1961-05-17T00:00:00.000",null
1565,"Corey Sevier","1984-07-03T00:00:00.000",null
1566,"Corey Yuen",null,null
1567,"Corinna Harney","1972-02-20T00:00:00.000",null
1568,"Corlandos Scott",null,null
1569,"Cornel Wilde","1912-10-13T00:00:00.000","1989-10-16T00:00:00.000"
1570,"Cory Edwards",null,null
1571,"Cory Hardrict","1979-11-09T00:00:00.000",null
1572,"Costa-Gavras","1933-02-12T00:00:00.000",null
1573,"Costas Mandylor","1965-09-03T00:00:00.000",null
1574,"Countess Vaughn","1978-08-08T00:00:00.000",null
1575,"Courtney B. Vance","1960-03-12T00:00:00.000",null
1576,"Courtney Bell","1978-06-04T00:00:00.000",null
1577,"Courtney Gains","1965-08-22T00:00:00.000",null
1578,"Courtney Hunt",null,null
1579,"Courtney Love","1964-07-09T00:00:00.000",null
1580,"Courtney Solomon","1971-09-01T00:00:00.000",null
1581,"Coyote Shivers","1965-09-24T00:00:00.000",null
1582,"Craig Bierko","1964-08-18T00:00:00.000",null
1583,"Craig Bolotin","1954-05-23T00:00:00.000",null
1584,"Craig Brewer","1971-12-06T00:00:00.000",null
1585,"Craig Conway",null,null
1586,"Craig Dougherty",null,null
1587,"Craig Fairbrass",null,null
1588,"Craig Ferguson","1962-05-17T00:00:00.000",null
1589,"Craig Gillespie","1967-09-01T00:00:00.000",null
1590,"Craig Hall",null,null
1591,"Craig Johnson","1973-12-17T00:00:00.000",null
1592,"Craig Mazin","1971-04-08T00:00:00.000",null
1593,"Craig Moss",null,null
1594,"Craig Parker","1970-11-12T00:00:00.000",null
1595,"Craig R. Baxley","1949-10-20T00:00:00.000",null
1596,"Craig Roberts","1991-01-21T00:00:00.000",null
1597,"Craig Sheffer","1960-04-23T00:00:00.000",null
1598,"Craig Stark",null,null
1599,"Craig T. Nelson","1944-04-04T00:00:00.000",null
1600,"Craig Zobel",null,null
1601,"Cree Kelly",null,null
1602,"Cree Summer","1969-07-07T00:00:00.000",null
1603,"Cristián de la Fuente","1974-03-10T00:00:00.000",null
1604,"Cristian Mungiu","1968-04-27T00:00:00.000",null
1605,"Crystal Lowe","1981-01-20T00:00:00.000",null
1606,"Crystal R. Fox",null,null
1607,"Cullen Douglas","1967-11-06T00:00:00.000",null
1608,"Currie Graham","1967-02-26T00:00:00.000",null
1609,"Curt Doussett",null,null
1610,"Curtis Armstrong","1953-11-27T00:00:00.000",null
1611,"Curtis Hanson","1945-03-24T00:00:00.000","2016-09-20T00:00:00.000"
1612,"Curtiss Cook",null,null
1613,"Cybill Shepherd","1950-02-18T00:00:00.000",null
1614,"Cyd Charisse","1921-03-08T00:00:00.000","2008-06-17T00:00:00.000"
1615,"Cyndi Lauper","1953-06-22T00:00:00.000",null
1616,"Cynthia Barrett",null,null
1617,"Cynthia Geary","1965-03-21T00:00:00.000",null
1618,"Cynthia Myers",null,null
1619,"Cynthia Nixon","1966-04-09T00:00:00.000",null
1620,"Cynthia Rhodes","1956-11-21T00:00:00.000",null
1621,"Cynthia Stevenson","1962-08-02T00:00:00.000",null
1622,"Cynthia Watros","1968-09-02T00:00:00.000",null
1623,"Cyril Raffaelli","1974-04-01T00:00:00.000",null
1624,"Cyrus Nowrasteh","1956-09-19T00:00:00.000",null
1625,"D. David Morin","1955-04-20T00:00:00.000",null
1626,"D. Stevens","1982-10-10T00:00:00.000",null
1627,"D.B. Sweeney","1961-11-14T00:00:00.000",null
1628,"D.B. Woodside","1969-07-25T00:00:00.000",null
1629,"D.J. Caruso","1965-01-17T00:00:00.000",null
1630,"D.W. Griffith","1875-01-22T00:00:00.000","1948-07-23T00:00:00.000"
1631,"Dabney Coleman","1932-01-03T00:00:00.000",null
1632,"Dagmara Dominczyk","1976-07-17T00:00:00.000",null
1633,"Dagur Kári","1973-12-12T00:00:00.000",null
1634,"Dahong Ni",null,null
1635,"Daisy Betts",null,null
1636,"Daisy Ridley","1992-04-10T00:00:00.000",null
1637,"Daisy von Scherler Mayer","1966-09-14T00:00:00.000",null
1638,"Dal-su Oh","1968-06-15T00:00:00.000",null
1639,"Dalia Hernández","1985-08-14T00:00:00.000",null
1640,"Dalip Singh","1972-08-27T00:00:00.000",null
1641,"Dallas Barnett","1964-02-29T00:00:00.000",null
1642,"Dallas Roberts","1970-05-10T00:00:00.000",null
1643,"Dameon Clarke","1972-01-16T00:00:00.000",null
1644,"Damián Alcázar","1953-01-08T00:00:00.000",null
1645,"Damián Delgado",null,null
1646,"Damian Jewan Lee",null,null
1647,"Damian Lewis","1971-02-11T00:00:00.000",null
1648,"Damian Nieman",null,null
1649,"Damian Walshe-Howling","1971-01-22T00:00:00.000",null
1650,"Damien Chazelle","1985-01-19T00:00:00.000",null
1651,"Damien Dante Wayans","1980-04-15T00:00:00.000",null
1652,"Damien Garvey",null,null
1653,"Damien O'Donnell",null,null
1654,"Damir Catic",null,null
1655,"Damon Albarn","1968-03-23T00:00:00.000",null
1656,"Damon Owlia",null,null
1657,"Damon Santostefano",null,null
1658,"Damon Wayans","1960-09-04T00:00:00.000",null
1659,"Damon Wayans Jr.","1982-11-18T00:00:00.000",null
1660,"Dan Bakkedahl","1969-11-18T00:00:00.000",null
1661,"Dan Bilzerian",null,null
1662,"Dan Byrd","1985-11-20T00:00:00.000",null
1663,"Dan Curtis","1927-08-12T00:00:00.000","2006-03-27T00:00:00.000"
1664,"Dan Cutforth","1967-04-24T00:00:00.000",null
1665,"Dan Fogelman",null,null
1666,"Dan Fogler","1976-10-20T00:00:00.000",null
1667,"Dan Futterman","1967-06-08T00:00:00.000",null
1668,"Dan Gilroy","1959-06-24T00:00:00.000",null
1669,"Dan Harris","1971-07-26T00:00:00.000",null
1670,"Dan Hedaya","1940-07-24T00:00:00.000",null
1671,"Dan Hicks",null,null
1672,"Dan Ireland","1958-05-11T00:00:00.000","2016-04-14T00:00:00.000"
1673,"Dan Mazer",null,null
1674,"Dan Novy",null,null
1675,"Dan O'Bannon","1946-09-30T00:00:00.000","2009-12-17T00:00:00.000"
1676,"Dan O'Herlihy","1919-05-01T00:00:00.000","2005-02-17T00:00:00.000"
1677,"Dan Perri",null,null
1678,"Dan Reed",null,null
1679,"Dan Rush",null,null
1680,"Dan Scanlon",null,null
1681,"Dan Trachtenberg",null,null
1682,"Dan Zukovic",null,null
1683,"Dana Andrews","1909-01-01T00:00:00.000","1992-12-17T00:00:00.000"
1684,"Dana Blackstone",null,null
1685,"Dana Delany","1956-03-13T00:00:00.000",null
1686,"Dana Hanna",null,null
1687,"Dana Ivey","1941-08-12T00:00:00.000",null
1688,"Dana Kimmell","1959-10-26T00:00:00.000",null
1689,"Dane Cook","1972-03-18T00:00:00.000",null
1690,"Dania Ramirez",null,null
1691,"Daniel Algrant","1959-09-25T00:00:00.000",null
1692,"Daniel Auteuil","1950-01-24T00:00:00.000",null
1693,"Daniel Baldwin","1960-10-05T00:00:00.000",null
1694,"Daniel Barber",null,null
1695,"Daniel Barnz",null,null
1696,"Daniel Bernhardt","1965-08-31T00:00:00.000",null
1697,"Daniel Columbie",null,null
1698,"Daniel Cudmore","1981-01-20T00:00:00.000",null
1699,"Daniel Davila",null,null
1700,"Daniel Espinosa","1977-03-23T00:00:00.000",null
1701,"Daniel Franzese","1978-05-09T00:00:00.000",null
1702,"Daniel Giménez Cacho","1961-05-15T00:00:00.000",null
1703,"Daniel Henney","1979-11-28T00:00:00.000",null
1704,"Daniel Hsia",null,null
1705,"Daniel Kaluuya",null,null
1706,"Daniel Kash","1959-04-25T00:00:00.000",null
1707,"Daniel Lapaine",null,null
1708,"Daniel Lee",null,null
1709,"Daniel London",null,null
1710,"Daniel Mays","1963-01-16T00:00:00.000",null
1711,"Daniel Mellitz","1972-01-23T00:00:00.000",null
1712,"Daniel Myrick","1963-09-03T00:00:00.000",null
1713,"Daniel Petrie Jr.","1920-11-26T00:00:00.000","2004-08-22T00:00:00.000"
1714,"Daniel Radcliffe","1989-07-23T00:00:00.000",null
1715,"Daniel Rindress-Kay","1988-07-19T00:00:00.000",null
1716,"Daniel Roebuck","1963-03-04T00:00:00.000",null
1717,"Daniel Sackheim",null,null
1718,"Daniel Schechter",null,null
1719,"Daniel Sharman","1986-04-25T00:00:00.000",null
1720,"Daniel Stamm","1976-04-20T00:00:00.000",null
1721,"Daniel Stern","1957-08-28T00:00:00.000",null
1722,"Daniel Stewart Sherman","1970-08-16T00:00:00.000",null
1723,"Daniel Taplitz",null,null
1724,"Daniel Tay","1992-02-11T00:00:00.000",null
1725,"Daniel Travis","1968-03-10T00:00:00.000",null
1726,"Daniel von Bargen","1950-06-05T00:00:00.000","2015-03-01T00:00:00.000"
1727,"Daniel Wu","1974-09-30T00:00:00.000",null
1728,"Daniel Zettel",null,null
1729,"Daniela Bianchi","1942-01-31T00:00:00.000",null
1730,"Daniele Luchetti","1960-07-26T00:00:00.000",null
1731,"Daniella Alonso","1978-09-22T00:00:00.000",null
1732,"Daniella Pineda","1987-02-20T00:00:00.000",null
1733,"Danielle Darrieux","1917-05-01T00:00:00.000",null
1734,"Danielle Kotch",null,null
1735,"Danielle Savre","1988-08-26T00:00:00.000",null
1736,"Danielle von Zerneck","1965-12-21T00:00:00.000",null
1737,"Dann Florek","1950-05-01T00:00:00.000",null
1738,"Danneel Ackles","1979-03-18T00:00:00.000",null
1739,"Danny Aiello","1957-01-27T00:00:00.000","2010-05-01T00:00:00.000"
1740,"Danny Arroyo","1979-01-29T00:00:00.000",null
1741,"Danny Boyle","1956-10-20T00:00:00.000",null
1742,"Danny Cannon",null,null
1743,"Danny DeVito","1944-11-17T00:00:00.000",null
1744,"Danny Dyer","1977-07-24T00:00:00.000",null
1745,"Danny Huston","1962-05-14T00:00:00.000",null
1746,"Danny Leiner",null,null
1747,"Danny Masterson","1976-03-13T00:00:00.000",null
1748,"Danny Nucci","1968-09-15T00:00:00.000",null
1749,"Danny Pang",null,null
1750,"Danny Perez",null,null
1751,"Danny Pino","1974-04-15T00:00:00.000",null
1752,"Danny Provenzano",null,null
1753,"Danny Rhodes",null,null
1754,"Danny Sapani","1970-11-15T00:00:00.000",null
1755,"Danny Steinmann","1942-01-07T00:00:00.000","2012-12-18T00:00:00.000"
1756,"Danny Strong","1974-06-06T00:00:00.000",null
1757,"Danny Webb",null,null
1758,"Danny Woodburn","1964-07-26T00:00:00.000",null
1759,"Dante Brown",null,null
1760,"Dany Boon","1966-06-26T00:00:00.000",null
1761,"Dany Verissimo-Petit","1982-06-27T00:00:00.000",null
1762,"Daoming Chen","1955-04-26T00:00:00.000",null
1763,"Daphne Zuniga","1962-10-28T00:00:00.000",null
1764,"Darci Kistler",null,null
